2025-03-02 21:26:35,010 - INFO - KNN training script started
A new study created in memory with name: no-name-3f5a3f5c-857c-4270-b871-4d5af5627a6a
2025-03-02 21:26:35,134 - INFO - Starting Optuna hyperparameter optimization
Trial 106 finished with value: 4.091738125079393 and parameters: {'n_neighbors': 9, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 107 finished with value: 4.259098630553623 and parameters: {'n_neighbors': 23, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 108 finished with value: 4.564227960424037 and parameters: {'n_neighbors': 43, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 109 finished with value: 4.123317428654868 and parameters: {'n_neighbors': 12, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 110 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 111 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 112 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 113 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 114 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 115 finished with value: 4.05492461925315 and parameters: {'n_neighbors': 3, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 116 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 117 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 118 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 119 finished with value: 4.037744732364412 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 1}. Best is trial 13 with value: 4.032820318148131.
Trial 120 finished with value: 4.143026852543128 and parameters: {'n_neighbors': 11, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 121 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 122 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 123 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 124 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 125 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 126 finished with value: 4.105398966725172 and parameters: {'n_neighbors': 2, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 127 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 128 finished with value: 4.139301642006982 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 129 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 130 finished with value: 4.05492461925315 and parameters: {'n_neighbors': 3, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 131 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 132 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 133 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
