Model,Experiment,Dataset,Metric,Overall,Top 5%,Top 10%,Top 20%,Bottom 5%,Bottom 10%,Bottom 20%
knn_rmse,genus_exp-knn_rmse,Cross-Validation,R2,0.7472398130679847,-0.08287090048101842,0.3355378585413499,0.6453721527840637,-6.353432763956388,-2.8201561201589405,-1.5950334378888025
knn_rmse,genus_exp-knn_rmse,Cross-Validation,Adjusted R2,0.7446031703825199,-0.365567286004824,0.2589689789592008,0.6260704526127165,-1,-1,-1
larslasso_rmse,genus_exp-larslasso_rmse,Training,RMSE,6.087283698880292,9.625437711440116,8.911006089581782,7.902885904624971,9.855783851325938,8.090435400832762,6.702515806465548
larslasso_rmse,genus_exp-larslasso_rmse,Training,MAE,4.714359318014239,8.131650298024079,7.499845219256741,6.429275818461987,8.576361285020848,6.476292491796549,5.12355521042363
larslasso_rmse,genus_exp-larslasso_rmse,Training,R2,0.7267697285861692,0.2322692042644403,0.6117405336537876,0.7404446968716527,-5.556086104913945,-2.6487912274560053,-1.7899312979225894
larslasso_rmse,genus_exp-larslasso_rmse,Training,Adjusted R2,0.72391955425565,0.03184390803259074,0.5669996967115483,0.7263176093397593,-1,-1,-1
larslasso_rmse,genus_exp-larslasso_rmse,Testing,RMSE,6.869150228676892,10.148559010347064,11.613320287144015,9.471799027209425,12.769515822199411,9.896816759165787,7.5300534216977715
larslasso_rmse,genus_exp-larslasso_rmse,Testing,MAE,5.125263192115873,8.188735671009324,9.622942092581404,7.512692032261709,10.564529262759827,7.5974507826337305,5.303970677078509
larslasso_rmse,genus_exp-larslasso_rmse,Testing,R2,0.7434456425678238,-4.426030147070787,-1.395292319478782,0.5597787273912518,-5.9782327774409145,-3.689160124000165,-2.1858040821508564
larslasso_rmse,genus_exp-larslasso_rmse,Testing,Adjusted R2,0.7192269112262264,-4.426030147070787,-1,0.22246632370402908,-5.9782327774409145,-1,-1
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,RMSE,6.291961164871348,10.117904161138265,9.274825127979708,8.24228637767246,9.968295924960136,8.219368676995758,6.8999536737297955
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,MAE,4.863720842722456,8.677830279483766,7.8556386522040205,6.720687790298707,8.653790422225052,6.620302247236313,5.261271689379757
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,R2,0.7080867587192519,0.15170070017598214,0.5793895753356766,0.7176720448686797,-5.706626993007446,-2.766015889187926,-1.9567197685656632
larslasso_rmse,genus_exp-larslasso_rmse,Cross-Validation,Adjusted R2,0.7050416948515779,-0.06975796659223499,0.5309207959309987,0.7023054864251854,-1,-1,-1
lars_rmse,genus_exp-lars_rmse,Training,RMSE,12.366724826920944,22.36151419190666,20.78002402323335,17.562097422683557,14.997538791053744,12.98114298132027,11.309041932704247
lars_rmse,genus_exp-lars_rmse,Training,MAE,9.14882396969618,18.528504700166657,16.862466795939373,13.807848430706963,12.355990502611316,10.263403851798598,8.717370543935813
lars_rmse,genus_exp-lars_rmse,Training,R2,-0.12769361921290878,-3.1435291838696218,-1.1113520923262503,-0.2817733763507153,-14.181066962402173,-8.393579018196979,-6.942723494812455
lars_rmse,genus_exp-lars_rmse,Training,Adjusted R2,-0.13945704275137438,-1,-1,-0.3515377944362248,-1,-1,-1
lars_rmse,genus_exp-lars_rmse,Testing,RMSE,14.339505889563716,20.82127702468672,21.411884472512266,19.12527429432772,13.211066214089279,13.171493626597337,11.901173495097197
lars_rmse,genus_exp-lars_rmse,Testing,MAE,11.069862252839847,19.764081952381876,18.439574957682524,15.646595035358105,10.855679263826106,10.715074241143467,9.32107575789573
lars_rmse,genus_exp-lars_rmse,Testing,R2,-0.11799983540435677,-21.839582694053348,-7.142457443830054,-0.7948221508202973,-6.469169752167798,-7.305658235691137,-6.957974122262394
lars_rmse,genus_exp-lars_rmse,Testing,Adjusted R2,-0.2235390198665279,-21.839582694053348,-1,-1,-6.469169752167798,-1,-1
lars_rmse,genus_exp-lars_rmse,Cross-Validation,RMSE,8.447636059201786,17.940034567688503,15.186854193881283,12.574659314608263,11.847764641436267,9.803968425783015,8.276904943770996
lars_rmse,genus_exp-lars_rmse,Cross-Validation,MAE,6.14697929579683,15.06534620914994,12.313397344223564,9.699865524849992,10.34133962055178,7.8947343963365215,6.353823665262239
lars_rmse,genus_exp-lars_rmse,Cross-Validation,R2,0.47379845486901007,-1.666947932086671,-0.12772762507762714,0.3428705398667027,-8.474038484930484,-4.358078027968756,-3.254551160221384
lars_rmse,genus_exp-lars_rmse,Cross-Validation,Adjusted R2,0.4683094359222759,-1,-0.25768061312368173,0.3071042685125841,-1,-1,-1
pls_rmse,genus_exp-pls_rmse,Training,RMSE,6.087295022015707,9.62477378817777,8.911172422268962,7.90373452381255,9.856412308919193,8.09104847308203,6.702459648651001
pls_rmse,genus_exp-pls_rmse,Training,MAE,4.714152686057061,8.129227154574213,7.4994383387437304,6.429988973801234,8.577923677978246,6.477289464379782,5.123396393142611
pls_rmse,genus_exp-pls_rmse,Training,R2,0.7267687120978986,0.23237511046232684,0.6117260390294013,0.7403889513024553,-5.556922233936361,-2.649344240313802,-1.7898845465854536
pls_rmse,genus_exp-pls_rmse,Training,Adjusted R2,0.7239185271639834,0.03197746230868648,0.56698353180818,0.7262588296482531,-1,-1,-1
pls_rmse,genus_exp-pls_rmse,Testing,RMSE,6.871385817630858,10.15489850669085,11.616373422319311,9.473619033654463,12.771705856721217,9.89782965469861,7.530421037619138
pls_rmse,genus_exp-pls_rmse,Testing,MAE,5.126544693373341,8.195393635546809,9.626900517285348,7.51425649862467,10.567850531325517,7.598700878182892,5.304160616063409
pls_rmse,genus_exp-pls_rmse,Testing,R2,0.7432786223686985,-4.432811216586023,-1.396551926958208,0.5596095340781495,-5.980626584914036,-3.690120002819725,-2.186115150565671
pls_rmse,genus_exp-pls_rmse,Testing,Adjusted R2,0.7190441243203036,-4.432811216586023,-1,0.2221674887614069,-5.980626584914036,-1,-1
pls_rmse,genus_exp-pls_rmse,Cross-Validation,RMSE,6.291582350709188,10.114196586441174,9.272745893025634,8.241066866591686,9.969710820549333,8.220324008164269,6.900543238179633
pls_rmse,genus_exp-pls_rmse,Cross-Validation,MAE,4.863427864212002,8.672697017883646,7.8533975207273015,6.719796644001079,8.655612202938872,6.6213861996414565,5.2618443814749565
pls_rmse,genus_exp-pls_rmse,Cross-Validation,R2,0.7081219075506584,0.15232228281264526,0.5795781395094803,0.7177555839700458,-5.708530999563243,-2.7668913825708903,-1.9572250622005836
pls_rmse,genus_exp-pls_rmse,Cross-Validation,Adjusted R2,0.7050772103345142,-0.06897411238228357,0.5311310891795181,0.7023935723964597,-1,-1,-1
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Training,RMSE,5.031630778458967,8.323676600464855,8.296195796652293,6.953539165060735,9.891702806402954,7.797161074212226,6.120537064092121
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Training,MAE,3.768482387461648,6.19158251438638,6.61811039577171,5.510034542298562,8.9906123676089,6.49477594133806,4.692560682416273
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Training,R2,0.8133193697556473,0.4258856763301332,0.6634678510440919,0.7990581978749072,-5.603959897207075,-2.3890520427273554,-1.32646690921074
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Training,Adjusted R2,0.8113720293765072,0.27600627324817684,0.6246877791917509,0.7881213285710507,-1,-1,-1
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Testing,RMSE,6.258719171634321,9.434715450652652,11.760929648369116,9.48508273549806,12.007314381978993,9.203328316153753,6.896822678620118
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Testing,MAE,4.3960690394807145,6.637505997462785,8.820410365405891,6.936463983239333,10.034835589958211,7.180582424589594,4.91054235259115
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Testing,R2,0.7870173155080128,-3.6895487252287813,-1.4565692918070217,0.5585430864007379,-5.1700453297477145,-3.055027789629153,-1.672520653413379
kernel_ridge_rmse,genus_exp-kernel_ridge_rmse,Testing,Adjusted R2,0.7669117500919692,-3.6895487252287813,-1,0.22028389286364092,-5.1700453297477145,-1,-1
